,Name,Agenda/Minute,Link,Date,Category,Video
0,Name,Agenda/Minute,Link,Date,Category,X:\Portals\0\Administration\Archive\Videos\THAA-20210209.mp4
1,Area A Town Hall Meeting,Website,https://jointheconversation.rdkb.com/2021townhalls,20210209,Area A Town Hall Meeting,X:\Portals\0\Administration\Archive\Videos\THAB-20210224.mp4
2,Area B Town Hall Meeting,Website,https://jointheconversation.rdkb.com/2021townhalls,20210224,Area B Town Hall Meeting,X:\Portals\0\Administration\Archive\Videos\THAD-20210305.mp4
3,Area D Town Hall Meeting,Website,https://jointheconversation.rdkb.com/2021townhalls,20210305,Area D Town Hall Meeting,X:\Portals\0\Administration\Archive\Videos\THAE-20210309.mp4
4,Area E Town Hall Meeting,Website,https://jointheconversation.rdkb.com/2021townhalls,20210309,Area E Town Hall Meeting,X:\Portals\0\Administration\Archive\Videos\THAE(BW)-20210310.mp4
5,Area E(Big White) Town Hall Meeting,Website,https://jointheconversation.rdkb.com/2021townhalls,20210310,Area E(Big White) Town Hall Meeting,
6,Minutes - BEDC,Minute,https://rdkb.civicweb.net/document/6799,20130204,Boundary Economic Development Committee,
7,Minutes - Boundary Economic Development Committee,Minute,https://rdkb.civicweb.net/document/15438,20131210,Boundary Economic Development Committee,
8,Minutes - Boundary Economic Development Committee,Minute,https://rdkb.civicweb.net/document/9004,20130409,Boundary Economic Development Committee,
9,Minutes - Boundary Economic Development Committee,Minute,https://rdkb.civicweb.net/document/13744,20131007,Boundary Economic Development Committee,
10,Boundary Economic Development Committee,Minute,https://rdkb.civicweb.net/document/5152,20130107,Boundary Economic Development Committee,
11,Boundary Economic Development Committee,Agenda,https://rdkb.civicweb.net/document/21773,20140624,Boundary Economic Development Committee,
12,Minutes - Boundary Economic Development Committee,Minute,https://rdkb.civicweb.net/document/12953,20130910,Boundary Economic Development Committee,
13,Boundary Economic Development Committee,Agenda,https://rdkb.civicweb.net/document/24498,20141007,Boundary Economic Development Committee,
14,Minutes - BEDC,Minute,https://rdkb.civicweb.net/document/8070,20130323,Boundary Economic Development Committee,
15,Boundary Economic Development Committee,Agenda,https://rdkb.civicweb.net/document/20252,20140506,Boundary Economic Development Committee,
16,Minutes - Boundary Economic Development Committee,Minute,https://rdkb.civicweb.net/document/10853,20130610,Boundary Economic Development Committee,
17,Minutes - Boundary Economic Development Committee,Minute,https://rdkb.civicweb.net/document/9710,20130430,Boundary Economic Development Committee,
18,Minutes - Boundary Economic Development Committee,Minute,https://rdkb.civicweb.net/document/14783,20131105,Boundary Economic Development Committee,
19,Regular Meeting of the Board of Directors,Agenda,https://rdkb.civicweb.net/document/74377,20180726,Board of Directors,
20,Regular Meeting of the Board of Directors,Agenda,https://rdkb.civicweb.net/document/74971,20180830,Board of Directors,
21,Regular Meeting of the Board of Directors,Agenda,https://rdkb.civicweb.net/document/76108,20180927,Board of Directors,
22,Regular Meeting of the Board of Directors,Minute,https://rdkb.civicweb.net/document/76707,20180927,Board of Directors,
23,Regular Meeting of the Board of Directors,Minute,https://rdkb.civicweb.net/document/74783,20180726,Board of Directors,
24,Regular Meeting of the Board of Directors,Minute,https://rdkb.civicweb.net/document/73921,20180628,Board of Directors,
25,Minutes-Board of Directors- 10 Oct 2018 - BoD Oct 25 2018- Pdf,Minute,https://rdkb.civicweb.net/document/77291,20181010,Board of Directors,
26,Regular Meeting of the Board of Directors,Agenda,https://rdkb.civicweb.net/document/66463,20180110,Board of Directors,
27,Minutes-Board of Directors- 24 May 2018 - BOARD June 28 - Pdf,Minute,https://rdkb.civicweb.net/document/72652,20180524,Board of Directors,
28,Regular Meeting of the Board of Directors,Agenda,https://rdkb.civicweb.net/document/72371,20180524,Board of Directors,
29,Minutes-Board of Directors- 26 Apr 2018 - BOARD-May 24 2018 - Pdf,Minute,https://rdkb.civicweb.net/document/72000,20180426,Board of Directors,
30,Regular Meeting of the Board of Directors,Agenda,https://rdkb.civicweb.net/document/71289,20180426,Board of Directors,
31,Regular Meeting of the Board of Directors,Minute,https://rdkb.civicweb.net/document/71242,20180411,Board of Directors,
32,Regular Meeting of the Board of Directors,Agenda,https://rdkb.civicweb.net/document/70896,20180411,Board of Directors,
33,"Minutes - Board of Directors- 27 Mar 2018 - BOARD - Apr 11, 2018 Pdf",Minute,https://rdkb.civicweb.net/document/70556,20180327,Board of Directors,
34,Regular Meeting of the Board of Directors,Agenda,https://rdkb.civicweb.net/document/70305,20180327,Board of Directors,
35,Regular Meeting of the Board of Directors,Minute,https://rdkb.civicweb.net/document/70234,20180314,Board of Directors,
36,Regular Meeting of the Board of Directors,Agenda,https://rdkb.civicweb.net/document/69946,20180314,Board of Directors,
37,Regular Meeting of the Board of Directors,Agenda,https://rdkb.civicweb.net/document/68482,20180214,Board of Directors,
38,Minutes-Regular Meeting of the Board of Directors- 14 Feb 2018 - BOARD-March 14 2018 - Pdf,Minute,https://rdkb.civicweb.net/document/69104,20180214,Board of Directors,
